alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
vwap + close,2012,1117,1791,44.4K,0.09,0.04,0.53%,2.79%,2.49%,4.20bpm
vwap + close,2013,1126,1792,-890K,-1.89,-4.38,-8.90%,4.26%,1.67%,-105.93bpm
vwap + close,2014,1131,1781,624K,1.01,1.86,6.24%,1.66%,1.86%,66.66bpm
vwap + close,2015,1104,1790,809K,1.11,2.18,8.09%,2.25%,2.08%,77.01bpm
vwap + close,2016,1090,1812,-1.10M,-1.30,-3.35,-10.98%,9.49%,1.67%,-130.61bpm
vwap + close,2017,1073,1838,67.9K,1.40,3.34,8.14%,0.39%,1.42%,113.97bpm
vwap + close,2012-2017,1113,1794,-443K,-0.14,-0.09,-0.90%,9.59%,1.93%,-9.25bpm
vwap - close,2012,1503,1405,1.04M,3.47,1.37,12.39%,0.69%,79.73%,3.08bpm
vwap - close,2013,1530,1388,629K,1.94,0.55,6.29%,1.01%,79.56%,1.57bpm
vwap - close,2014,1499,1413,-642K,-1.39,-0.39,-6.42%,4.22%,81.64%,-1.56bpm
vwap - close,2015,1502,1393,1.58M,3.44,1.52,15.85%,1.37%,81.71%,3.85bpm
vwap - close,2016,1499,1403,943K,2.37,0.81,9.43%,1.95%,81.44%,2.30bpm
vwap - close,2017,1558,1353,-25.9K,-1.06,-0.21,-3.10%,0.69%,80.38%,-0.77bpm
vwap - close,2012-2017,1508,1399,3.53M,1.76,0.52,7.17%,4.22%,80.84%,1.76bpm
vwap * close,2012,865,2043,-423K,-0.68,-0.90,-5.03%,5.27%,2.84%,-35.17bpm
vwap * close,2013,883,2035,-1.04M,-1.72,-4.06,-10.41%,5.84%,1.86%,-111.15bpm
vwap * close,2014,872,2040,394K,0.64,0.86,3.94%,2.10%,2.15%,36.34bpm
vwap * close,2015,842,2053,1.02M,1.38,2.80,10.20%,2.30%,2.48%,81.43bpm
vwap * close,2016,832,2070,-1.02M,-1.23,-3.03,-10.15%,8.99%,1.68%,-120.18bpm
vwap * close,2017,823,2087,63.3K,1.26,2.61,7.60%,0.51%,1.76%,85.75bpm
vwap * close,2012-2017,858,2049,-1.00M,-0.29,-0.28,-2.03%,11.33%,2.17%,-18.56bpm
close/vwap,2012,1435,1473,-953K,-2.21,-0.83,-11.33%,5.23%,79.83%,-2.81bpm
close/vwap,2013,1430,1488,-389K,-0.93,-0.21,-3.89%,2.91%,79.78%,-0.97bpm
close/vwap,2014,1440,1472,-721K,-1.10,-0.33,-7.21%,5.83%,80.79%,-1.77bpm
close/vwap,2015,1429,1465,-1.20M,-2.30,-0.89,-11.97%,5.96%,80.60%,-2.95bpm
close/vwap,2016,1445,1457,-269K,-0.43,-0.08,-2.69%,4.17%,80.10%,-0.67bpm
close/vwap,2017,1433,1478,-11.0K,-0.31,-0.04,-1.32%,0.53%,80.26%,-0.33bpm
close/vwap,2012-2017,1436,1471,-3.54M,-1.30,-0.39,-7.19%,21.03%,80.23%,-1.78bpm
vwap/close,2012,1464,1444,934K,2.12,0.79,11.10%,1.29%,79.82%,2.76bpm
vwap/close,2013,1480,1438,398K,0.93,0.21,3.98%,2.31%,79.77%,0.99bpm
vwap/close,2014,1463,1449,620K,0.88,0.24,6.20%,3.78%,80.75%,1.52bpm
vwap/close,2015,1455,1439,1.13M,2.12,0.80,11.33%,1.66%,80.60%,2.79bpm
vwap/close,2016,1447,1455,241K,0.39,0.07,2.41%,5.73%,80.07%,0.60bpm
vwap/close,2017,1469,1442,9.18K,0.26,0.03,1.10%,0.77%,80.25%,0.27bpm
vwap/close,2012-2017,1462,1445,3.33M,1.19,0.35,6.77%,5.73%,80.22%,1.67bpm
vwap + open,2012,1117,1791,48.3K,0.10,0.05,0.57%,2.79%,2.47%,4.62bpm
vwap + open,2013,1126,1793,-886K,-1.89,-4.38,-8.86%,4.24%,1.64%,-106.92bpm
vwap + open,2014,1131,1781,628K,1.02,1.89,6.28%,1.66%,1.84%,67.81bpm
vwap + open,2015,1104,1791,814K,1.11,2.21,8.14%,2.24%,2.06%,78.21bpm
vwap + open,2016,1090,1812,-1.10M,-1.30,-3.36,-10.96%,9.49%,1.64%,-132.34bpm
vwap + open,2017,1073,1838,67.8K,1.39,3.37,8.13%,0.39%,1.39%,116.06bpm
vwap + open,2012-2017,1113,1794,-424K,-0.13,-0.09,-0.86%,9.58%,1.90%,-8.98bpm
vwap - open,2012,1448,1460,-470K,-1.51,-0.40,-5.59%,4.01%,80.75%,-1.37bpm
vwap - open,2013,1425,1493,-850K,-2.67,-0.87,-8.50%,4.36%,80.16%,-2.11bpm
vwap - open,2014,1448,1465,-789K,-1.32,-0.42,-7.89%,5.38%,79.89%,-1.96bpm
vwap - open,2015,1451,1444,-825K,-1.80,-0.57,-8.25%,4.65%,81.53%,-2.01bpm
vwap - open,2016,1437,1465,-462K,-1.09,-0.26,-4.62%,3.71%,80.55%,-1.14bpm
vwap - open,2017,1484,1426,121K,6.51,2.75,14.57%,0.19%,81.52%,3.55bpm
vwap - open,2012-2017,1442,1465,-3.28M,-1.50,-0.43,-6.65%,19.01%,80.58%,-1.64bpm
vwap * open,2012,865,2043,-420K,-0.67,-0.90,-4.99%,5.26%,2.81%,-35.24bpm
vwap * open,2013,883,2035,-1.04M,-1.72,-4.08,-10.40%,5.83%,1.83%,-112.49bpm
vwap * open,2014,872,2040,399K,0.64,0.88,3.99%,2.10%,2.14%,37.08bpm
vwap * open,2015,842,2053,1.02M,1.39,2.83,10.24%,2.30%,2.46%,82.45bpm
vwap * open,2016,832,2070,-1.01M,-1.23,-3.04,-10.12%,8.98%,1.65%,-121.57bpm
vwap * open,2017,824,2087,63.7K,1.26,2.67,7.65%,0.51%,1.71%,88.81bpm
vwap * open,2012-2017,858,2049,-986K,-0.28,-0.27,-2.00%,11.32%,2.15%,-18.46bpm
open/vwap,2012,1431,1477,259K,0.60,0.12,3.08%,2.51%,79.73%,0.77bpm
open/vwap,2013,1454,1465,448K,0.97,0.23,4.48%,2.19%,80.14%,1.11bpm
open/vwap,2014,1441,1472,-208K,-0.21,-0.03,-2.08%,7.97%,80.15%,-0.51bpm
