alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
assets_curr / assets,2012,1006.0,1118.0,-460K,-1.77,-2.4,-5.71%,2.96%,3.10%,-36.52bpm
assets_curr / assets,2013,1000.0,1119.0,407K,1.16,1.57,4.07%,2.21%,2.23%,36.17bpm
assets_curr / assets,2014,999.0,1117.0,-107K,-0.18,-0.12,-1.07%,4.89%,2.42%,-8.76bpm
assets_curr / assets,2015,983.0,1089.0,118K,0.22,0.15,1.18%,2.77%,2.72%,8.63bpm
assets_curr / assets,2016,982.0,1059.0,-257K,-0.52,-0.56,-2.57%,3.07%,2.24%,-22.73bpm
assets_curr / assets,2017,992.0,1055.0,41.2K,1.02,1.6,3.58%,0.48%,1.46%,48.56bpm
assets_curr / assets,2012-2017,993.0,1099.0,-257K,-0.11,-0.05,-0.52%,5.36%,2.49%,-4.16bpm
assets / assets_curr,2012,866.0,1258.0,-229K,-0.54,-0.5,-2.85%,1.62%,3.34%,-16.93bpm
assets / assets_curr,2013,853.0,1265.0,-798K,-1.41,-2.16,-7.98%,4.90%,3.41%,-46.47bpm
assets / assets_curr,2014,836.0,1278.0,-316K,-0.54,-0.57,-3.16%,3.58%,2.86%,-21.95bpm
assets / assets_curr,2015,821.0,1250.0,-1.38M,-1.71,-3.15,-13.79%,9.25%,4.07%,-67.19bpm
assets / assets_curr,2016,798.0,1243.0,-449K,-0.39,-0.44,-4.49%,7.39%,3.46%,-25.76bpm
assets / assets_curr,2017,783.0,1264.0,22.1K,0.23,0.29,1.92%,1.00%,1.20%,31.79bpm
assets / assets_curr,2012-2017,832.0,1259.0,-3.15M,-0.83,-1.14,-6.40%,19.77%,3.38%,-37.60bpm
bookvalue_ps / assets,2012,1006.0,1598.0,227K,0.16,0.12,2.82%,7.75%,5.12%,10.94bpm
bookvalue_ps / assets,2013,1045.0,1515.0,726K,0.19,0.19,7.26%,15.39%,6.70%,21.50bpm
bookvalue_ps / assets,2014,1060.0,1475.0,-844K,-0.48,-0.5,-8.44%,8.90%,7.67%,-21.83bpm
bookvalue_ps / assets,2015,1028.0,1501.0,-196K,-0.13,-0.07,-1.96%,7.41%,7.41%,-5.26bpm
bookvalue_ps / assets,2016,1036.0,1528.0,3.45M,1.52,4.05,34.55%,12.22%,4.89%,140.17bpm
bookvalue_ps / assets,2017,1033.0,1562.0,51.9K,0.61,0.67,4.51%,1.03%,3.74%,23.91bpm
bookvalue_ps / assets,2012-2017,1036.0,1521.0,3.42M,0.29,0.3,6.95%,18.89%,6.35%,21.73bpm
assets / bookvalue_ps,2012,859.0,1744.0,548K,0.83,1.38,6.81%,2.82%,2.45%,55.20bpm
assets / bookvalue_ps,2013,849.0,1710.0,717K,1.05,1.69,7.17%,2.57%,2.75%,51.65bpm
assets / bookvalue_ps,2014,868.0,1667.0,-1.56M,-2.03,-5.32,-15.63%,9.03%,2.28%,-136.05bpm
assets / bookvalue_ps,2015,830.0,1698.0,249K,0.37,0.34,2.49%,3.61%,2.95%,16.73bpm
assets / bookvalue_ps,2016,848.0,1715.0,-1.04M,-1.22,-2.61,-10.35%,5.76%,2.27%,-90.48bpm
assets / bookvalue_ps,2017,832.0,1763.0,-13.8K,-0.26,-0.23,-1.20%,0.79%,1.47%,-16.18bpm
assets / bookvalue_ps,2012-2017,850.0,1707.0,-1.10M,-0.29,-0.28,-2.23%,13.10%,2.52%,-17.56bpm
capex / assets,2012,1013.0,1567.0,-299K,-1.25,-1.37,-3.71%,1.97%,3.09%,-23.84bpm
capex / assets,2013,1013.0,1535.0,-21.5K,-0.08,-0.02,-0.21%,1.27%,2.39%,-1.78bpm
capex / assets,2014,996.0,1547.0,86.9K,0.27,0.15,0.87%,1.48%,2.61%,6.61bpm
capex / assets,2015,978.0,1552.0,292K,0.92,0.83,2.92%,0.71%,3.60%,16.08bpm
capex / assets,2016,966.0,1583.0,-132K,-0.43,-0.3,-1.32%,1.28%,2.65%,-9.86bpm
capex / assets,2017,952.0,1609.0,151K,4.53,13.22,13.13%,0.24%,1.55%,168.49bpm
capex / assets,2012-2017,992.0,1558.0,77.7K,0.05,0.01,0.16%,2.60%,2.83%,1.11bpm
assets / capex,2012,871.0,1598.0,-109K,-0.29,-0.2,-1.36%,2.45%,3.06%,-8.79bpm
assets / capex,2013,846.0,1584.0,1.08M,1.65,2.62,10.79%,1.89%,4.26%,50.31bpm
assets / capex,2014,818.0,1595.0,-315K,-0.28,-0.28,-3.15%,7.54%,3.32%,-18.83bpm
assets / capex,2015,788.0,1608.0,41.7K,0.05,0.02,0.42%,5.31%,3.02%,2.74bpm
assets / capex,2016,793.0,1615.0,158K,0.16,0.11,1.58%,3.83%,3.14%,9.96bpm
assets / capex,2017,787.0,1618.0,106K,1.48,3.03,9.21%,0.64%,2.18%,83.82bpm
assets / capex,2012-2017,821.0,1601.0,960K,0.23,0.17,1.95%,8.72%,3.35%,11.57bpm
cash / assets,2012,866.0,1145.0,-512K,-1.74,-2.28,-6.36%,3.24%,3.73%,-33.84bpm
cash / assets,2013,859.0,1149.0,43.9K,0.12,0.05,0.44%,3.53%,2.96%,2.94bpm
cash / assets,2014,864.0,1142.0,-21.6K,-0.03,-0.01,-0.22%,5.97%,3.05%,-1.41bpm
cash / assets,2015,857.0,1106.0,135K,0.21,0.13,1.35%,2.99%,3.27%,8.16bpm
cash / assets,2016,846.0,1086.0,-718K,-1.11,-1.79,-7.18%,4.43%,2.78%,-51.28bpm
cash / assets,2017,851.0,1084.0,107K,2.09,5.0,9.34%,0.75%,1.64%,113.13bpm
cash / assets,2012-2017,858.0,1124.0,-966K,-0.35,-0.27,-1.96%,7.06%,3.10%,-12.57bpm
assets / cash,2012,742.0,1268.0,-440K,-1.19,-1.32,-5.46%,2.35%,4.43%,-24.44bpm
assets / cash,2013,745.0,1261.0,-460K,-0.97,-0.95,-4.60%,3.96%,4.74%,-19.26bpm
assets / cash,2014,729.0,1276.0,-919K,-1.36,-2.12,-9.19%,5.34%,3.80%,-47.94bpm
assets / cash,2015,709.0,1253.0,-673K,-1.1,-1.35,-6.73%,5.49%,4.50%,-29.68bpm
assets / cash,2016,706.0,1226.0,290K,0.39,0.33,2.90%,3.74%,4.09%,14.07bpm
assets / cash,2017,688.0,1248.0,-151K,-2.43,-6.89,-13.15%,1.04%,1.63%,-160.11bpm
assets / cash,2012-2017,725.0,1256.0,-2.35M,-0.79,-0.84,-4.78%,14.64%,4.25%,-22.36bpm
cashflow / assets,2012,1273.0,1386.0,-336K,-0.96,-1.03,-4.17%,3.11%,3.65%,-22.64bpm
cashflow / assets,2013,1267.0,1363.0,298K,0.7,0.66,2.98%,3.28%,3.38%,17.51bpm
cashflow / assets,2014,1182.0,1443.0,361K,0.57,0.59,3.61%,3.56%,3.37%,21.21bpm
cashflow / assets,2015,1208.0,1405.0,-380K,-0.7,-0.69,-3.80%,5.15%,3.89%,-19.40bpm
cashflow / assets,2016,1259.0,1368.0,-809K,-1.56,-2.4,-8.09%,4.06%,3.42%,-46.91bpm
cashflow / assets,2017,1276.0,1348.0,-118K,-2.33,-5.27,-10.25%,1.11%,2.01%,-100.95bpm
cashflow / assets,2012-2017,1237.0,1392.0,-983K,-0.39,-0.29,-2.00%,8.80%,3.50%,-11.32bpm
assets / cashflow,2012,1324.0,1322.0,-53.2K,-0.06,-0.02,-0.66%,4.45%,4.28%,-3.06bpm
assets / cashflow,2013,1352.0,1271.0,6.20M,2.56,9.62,61.96%,6.78%,4.40%,279.58bpm
assets / cashflow,2014,1291.0,1329.0,-1.62M,-0.61,-1.06,-16.25%,15.98%,5.35%,-60.31bpm
assets / cashflow,2015,1306.0,1305.0,-1.96M,-0.83,-2.08,-19.62%,23.10%,3.11%,-124.98bpm
assets / cashflow,2016,1250.0,1372.0,-1.43M,-0.71,-1.33,-14.33%,14.62%,4.15%,-68.59bpm
assets / cashflow,2017,1268.0,1349.0,202K,0.84,25.58,17.56%,3.02%,0.02%,18530.77bpm
assets / cashflow,2012-2017,1303.0,1320.0,1.32M,0.12,0.1,2.69%,30.33%,4.16%,12.85bpm
cashflow_dividends / assets,2012,826.0,1656.0,266K,0.67,0.64,3.31%,1.79%,3.66%,17.95bpm
cashflow_dividends / assets,2013,794.0,1676.0,57.4K,0.15,0.06,0.57%,2.12%,2.95%,3.86bpm
cashflow_dividends / assets,2014,820.0,1648.0,283K,0.5,0.48,2.83%,2.40%,3.05%,18.41bpm
cashflow_dividends / assets,2015,833.0,1629.0,516K,1.08,1.36,5.16%,1.90%,3.24%,31.54bpm
cashflow_dividends / assets,2016,843.0,1627.0,-456K,-0.7,-0.97,-4.56%,5.80%,2.33%,-38.75bpm
cashflow_dividends / assets,2017,840.0,1616.0,-284K,-5.1,-19.53,-24.72%,1.32%,1.69%,-290.75bpm
cashflow_dividends / assets,2012-2017,823.0,1646.0,382K,0.15,0.08,0.78%,6.46%,2.99%,5.15bpm
assets / cashflow_dividends,2012,439.0,968.0,431K,0.64,0.73,5.35%,3.70%,4.06%,26.12bpm
assets / cashflow_dividends,2013,456.0,960.0,2.72M,1.7,4.42,27.24%,4.76%,4.02%,134.51bpm
assets / cashflow_dividends,2014,434.0,966.0,4.37M,2.01,7.56,43.69%,4.92%,3.08%,281.78bpm
assets / cashflow_dividends,2015,438.0,997.0,799K,0.61,0.97,7.99%,7.30%,3.15%,50.37bpm
assets / cashflow_dividends,2016,469.0,1015.0,322K,0.22,0.19,3.22%,8.84%,4.69%,13.63bpm
assets / cashflow_dividends,2017,468.0,1000.0,682K,5.29,21.57,59.26%,1.35%,3.56%,330.45bpm
assets / cashflow_dividends,2012-2017,448.0,982.0,9.33M,1.22,2.73,18.95%,11.11%,3.78%,99.41bpm
cashflow_fin / assets,2012,1217.0,1442.0,-502K,-1.34,-1.76,-6.23%,3.84%,3.58%,-34.54bpm
cashflow_fin / assets,2013,1200.0,1431.0,-59.2K,-0.13,-0.05,-0.59%,3.60%,3.21%,-3.66bpm
cashflow_fin / assets,2014,1144.0,1482.0,-421K,-0.5,-0.56,-4.21%,7.34%,3.37%,-24.80bpm
cashflow_fin / assets,2015,1122.0,1492.0,-13.6K,-0.02,0.0,-0.14%,3.93%,3.84%,-0.71bpm
cashflow_fin / assets,2016,1179.0,1452.0,-2.02M,-1.76,-3.74,-20.15%,9.98%,4.46%,-89.76bpm
cashflow_fin / assets,2017,1189.0,1437.0,59.7K,1.12,1.9,5.19%,0.96%,1.81%,57.02bpm
cashflow_fin / assets,2012-2017,1171.0,1460.0,-2.95M,-0.79,-1.02,-6.00%,15.94%,3.65%,-32.60bpm
assets / cashflow_fin,2012,1348.0,1307.0,-478K,-0.66,-0.83,-5.93%,5.41%,3.78%,-31.11bpm
assets / cashflow_fin,2013,1338.0,1288.0,-70.0K,-0.1,-0.04,-0.70%,3.59%,3.28%,-4.24bpm
assets / cashflow_fin,2014,1338.0,1284.0,126K,0.13,0.08,1.26%,8.75%,3.02%,8.28bpm
assets / cashflow_fin,2015,1328.0,1284.0,212K,0.24,0.21,2.12%,4.05%,2.59%,16.23bpm
assets / cashflow_fin,2016,1194.0,1435.0,-348K,-0.5,-0.57,-3.48%,4.92%,2.69%,-25.64bpm
assets / cashflow_fin,2017,1211.0,1413.0,-25.6K,-0.79,-0.8,-2.23%,0.61%,2.16%,-20.42bpm
assets / cashflow_fin,2012-2017,1305.0,1322.0,-583K,-0.14,-0.09,-1.19%,8.77%,3.02%,-7.78bpm
cashflow_invst / assets,2012,1477.0,1182.0,114K,0.47,0.31,1.42%,0.77%,3.35%,8.42bpm
cashflow_invst / assets,2013,1461.0,1169.0,556K,1.83,2.55,5.56%,1.45%,2.87%,38.47bpm
cashflow_invst / assets,2014,1491.0,1134.0,43.9K,0.13,0.05,0.44%,1.81%,2.83%,3.08bpm
cashflow_invst / assets,2015,1505.0,1109.0,-282K,-0.8,-0.74,-2.82%,2.29%,3.31%,-16.92bpm
cashflow_invst / assets,2016,1497.0,1135.0,1.51M,1.61,3.04,15.13%,2.88%,4.24%,70.87bpm
cashflow_invst / assets,2017,1488.0,1137.0,-1.97K,-0.06,-0.02,-0.17%,0.62%,1.65%,-2.05bpm
cashflow_invst / assets,2012-2017,1487.0,1144.0,1.94M,0.76,0.84,3.95%,3.65%,3.28%,23.91bpm
assets / cashflow_invst,2012,1414.0,1223.0,695K,1.06,1.72,8.63%,2.37%,3.31%,51.80bpm
assets / cashflow_invst,2013,1496.0,1109.0,-1.90M,-1.69,-3.9,-19.03%,10.89%,3.60%,-104.92bpm
assets / cashflow_invst,2014,1530.0,1070.0,651K,0.55,0.71,6.51%,3.80%,3.92%,32.98bpm
assets / cashflow_invst,2015,1505.0,1083.0,-132K,-0.12,-0.07,-1.32%,6.15%,4.21%,-6.21bpm
assets / cashflow_invst,2016,1469.0,1137.0,417K,0.49,0.53,4.17%,5.32%,3.55%,23.33bpm
assets / cashflow_invst,2017,1471.0,1131.0,-359K,-6.79,-24.85,-31.15%,1.61%,2.33%,-265.76bpm
assets / cashflow_invst,2012-2017,1485.0,1121.0,-630K,-0.13,-0.07,-1.28%,12.73%,3.70%,-6.87bpm
cashflow_op / assets,2012,1346.0,1314.0,301K,0.61,0.62,3.74%,2.22%,3.68%,20.17bpm
cashflow_op / assets,2013,1340.0,1293.0,-242K,-0.41,-0.35,-2.42%,3.27%,3.39%,-14.14bpm
cashflow_op / assets,2014,1320.0,1308.0,909K,1.01,1.62,9.09%,3.31%,3.51%,51.35bpm
cashflow_op / assets,2015,1350.0,1267.0,45.4K,0.06,0.02,0.45%,5.24%,3.71%,2.43bpm
cashflow_op / assets,2016,1334.0,1297.0,1.39M,1.18,2.12,13.85%,4.60%,4.25%,64.66bpm
cashflow_op / assets,2017,1314.0,1315.0,-192K,-3.38,-9.91,-16.71%,0.94%,1.94%,-170.77bpm
cashflow_op / assets,2012-2017,1337.0,1296.0,2.21M,0.53,0.59,4.48%,6.13%,3.67%,24.25bpm
assets / cashflow_op,2012,1284.0,1375.0,47.5K,0.13,0.05,0.59%,2.06%,3.57%,3.28bpm
assets / cashflow_op,2013,1221.0,1411.0,113K,0.22,0.12,1.13%,2.89%,3.67%,6.12bpm
